id,lon,lat,height
1036.0,8.383,54.617,107.5
1037.0,6.748,53.557,109.3
1109.0,-3.086,58.441,111.1
1113.0,9.856,58.995,105.6
113.0,11.142,55.332,95.6
1197.0,9.987,54.995,104.5
120.0,11.926,54.573,110.8
1236.0,11.791,57.685,136.8
13.0,10.872,53.958,127.1
1505.0,-0.615,54.49,108.4
1526.0,-3.182,55.99,69.7
1548.0,0.057,50.782,73.0
1551.0,3.682,51.62,118.9
1632.0,1.302,52.934,187.5
1758.0,-3.131,51.211,80.0
1759.0,10.95,59.036,127.9
1773.0,-2.448,50.608,112.8
1774.0,-3.018,53.45,-35.8
179.0,11.218,58.354,140.8
1794.0,-3.567,54.651,74.6
1832.0,-2.987,51.55,66.6
1854.0,-3.825,53.332,14.1
1878.0,-1.875,50.714,115.2
20.0,3.596,51.442,104.8
2112.0,11.832,58.093,139.7
2113.0,11.127,58.997,138.4
22.0,4.12,51.977,76.3
23.0,4.745,52.964,99.5
236.0,5.22,53.363,75.8
24.0,6.933,53.326,97.2
25.0,5.409,53.176,73.8
255.0,1.323,51.114,85.8
286.0,-0.187,53.63,121.1
302.0,7.555,58.006,96.9
32.0,4.555,52.462,110.5
33.0,10.605,59.678,117.4
350.0,-1.111,50.802,51.9
361.0,-2.077,57.144,126.7
413.0,2.917,51.233,121.3
455.0,1.868,50.969,64.8
468.0,2.367,51.048,84.0
47.0,5.73,58.974,93.7
470.0,3.2,51.35,119.3
486.0,5.113,61.934,51.9
489.0,2.733,51.15,101.9
509.0,6.152,62.469,86.3
58.0,5.32,60.398,59.6
62.0,10.735,59.909,131.4
7.0,8.717,53.867,105.9
703.0,8.596,57.119,164.6
754.0,1.75,52.473,141.1
76.0,10.224,56.147,105.6
762.0,11.349,54.656,122.3
789.0,10.157,54.372,95.9
8.0,11.458,53.899,112.9
80.0,8.441,55.461,135.5
81.0,9.754,55.561,105.3
830.0,-1.14,60.154,122.1
89.0,9.964,57.596,159.2
9.0,4.25,51.917,45.9
91.0,10.549,57.436,121.9
936.0,-2.92,54.032,209.0
95.0,-1.44,55.007,148.3
98.0,10.828,55.288,90.8
