id,lon,lat,height
1036.0,8.383,54.617,164.0
1037.0,6.748,53.557,143.6
1109.0,-3.086,58.441,129.7
1113.0,9.856,58.995,214.8
113.0,11.142,55.332,-1.9
1197.0,9.987,54.995,-50.5
120.0,11.926,54.573,-61.6
13.0,10.872,53.958,-58.6
179.0,11.218,58.354,191.9
20.0,3.596,51.442,80.5
2112.0,11.832,58.093,211.7
22.0,4.12,51.977,61.8
23.0,4.745,52.964,168.2
236.0,5.22,53.363,100.0
24.0,6.933,53.326,156.2
25.0,5.409,53.176,139.7
255.0,1.323,51.114,37.2
286.0,-0.187,53.63,121.9
3.0,0.743,51.446,28.4
302.0,7.555,58.006,168.0
32.0,4.555,52.462,102.0
350.0,-1.111,50.802,65.0
361.0,-2.077,57.144,153.8
413.0,2.917,51.233,74.5
455.0,1.868,50.969,92.8
468.0,2.367,51.048,213.5
47.0,5.73,58.974,178.4
470.0,3.2,51.35,52.5
486.0,5.113,61.934,195.1
489.0,2.733,51.15,19.1
509.0,6.152,62.469,118.9
58.0,5.32,60.398,195.8
62.0,10.735,59.909,251.5
7.0,8.717,53.867,179.7
754.0,1.75,52.473,74.3
76.0,10.224,56.147,88.0
789.0,10.157,54.372,-68.6
8.0,11.458,53.899,-44.1
80.0,8.441,55.461,252.8
81.0,9.754,55.561,29.0
830.0,-1.14,60.154,152.7
89.0,9.964,57.596,209.8
9.0,4.25,51.917,37.5
91.0,10.549,57.436,202.2
936.0,-2.92,54.032,209.9
95.0,-1.44,55.007,137.3
98.0,10.828,55.288,17.6
